Series ID,Year,Period,Value
LNU02500000,1968,M01,63085
LNU02500000,1968,M02,63258
LNU02500000,1968,M03,63602
LNU02500000,1968,M04,64104
LNU02500000,1968,M05,64356
LNU02500000,1968,M06,67092
LNU02500000,1968,M07,68096
LNU02500000,1968,M08,68444
LNU02500000,1968,M09,65764
LNU02500000,1968,M10,65216
LNU02500000,1968,M11,65158
LNU02500000,1968,M12,65147
LNU02500000,1969,M01,64232
LNU02500000,1969,M02,64674
LNU02500000,1969,M03,64903
LNU02500000,1969,M04,65178
LNU02500000,1969,M05,65208
LNU02500000,1969,M06,68263
LNU02500000,1969,M07,69439
LNU02500000,1969,M08,70090
LNU02500000,1969,M09,67410
LNU02500000,1969,M10,66676
LNU02500000,1969,M11,66597
LNU02500000,1969,M12,66480
LNU02500000,1970,M01,65437
LNU02500000,1970,M02,65296
LNU02500000,1970,M03,65400
LNU02500000,1970,M04,65577
LNU02500000,1970,M05,65628
LNU02500000,1970,M06,68215
LNU02500000,1970,M07,69442
LNU02500000,1970,M08,69777
LNU02500000,1970,M09,67177
LNU02500000,1970,M10,66675
LNU02500000,1970,M11,66301
LNU02500000,1970,M12,66120
LNU02500000,1971,M01,65056
LNU02500000,1971,M02,64956
LNU02500000,1971,M03,64806
LNU02500000,1971,M04,65594
LNU02500000,1971,M05,65970
LNU02500000,1971,M06,67918
LNU02500000,1971,M07,69522
LNU02500000,1971,M08,70064
LNU02500000,1971,M09,67693
LNU02500000,1971,M10,67304
LNU02500000,1971,M11,67378
LNU02500000,1971,M12,67423
LNU02500000,1972,M01,66552
LNU02500000,1972,M02,66475
LNU02500000,1972,M03,67062
LNU02500000,1972,M04,67415
LNU02500000,1972,M05,67903
LNU02500000,1972,M06,71119
LNU02500000,1972,M07,72029
LNU02500000,1972,M08,72486
LNU02500000,1972,M09,70018
LNU02500000,1972,M10,69916
LNU02500000,1972,M11,69718
LNU02500000,1972,M12,69883
LNU02500000,1973,M01,68917
LNU02500000,1973,M02,68981
LNU02500000,1973,M03,69526
LNU02500000,1973,M04,70025
LNU02500000,1973,M05,70467
LNU02500000,1973,M06,73884
LNU02500000,1973,M07,75165
LNU02500000,1973,M08,75358
LNU02500000,1973,M09,72472
LNU02500000,1973,M10,72591
LNU02500000,1973,M11,72258
LNU02500000,1973,M12,71993
LNU02500000,1974,M01,71156
LNU02500000,1974,M02,70991
LNU02500000,1974,M03,71353
LNU02500000,1974,M04,71822
LNU02500000,1974,M05,72221
LNU02500000,1974,M06,75175
LNU02500000,1974,M07,76267
LNU02500000,1974,M08,76652
LNU02500000,1974,M09,73764
LNU02500000,1974,M10,73442
LNU02500000,1974,M11,72408
LNU02500000,1974,M12,71874
LNU02500000,1975,M01,70027
LNU02500000,1975,M02,69422
LNU02500000,1975,M03,69295
LNU02500000,1975,M04,69713
LNU02500000,1975,M05,70351
LNU02500000,1975,M06,72586
LNU02500000,1975,M07,74025
LNU02500000,1975,M08,74956
LNU02500000,1975,M09,72442
LNU02500000,1975,M10,72393
LNU02500000,1975,M11,71818
LNU02500000,1975,M12,72020
LNU02500000,1976,M01,71125
LNU02500000,1976,M02,71143
LNU02500000,1976,M03,71683
LNU02500000,1976,M04,72560
LNU02500000,1976,M05,73316
LNU02500000,1976,M06,75543
LNU02500000,1976,M07,77231
LNU02500000,1976,M08,77509
LNU02500000,1976,M09,74490
LNU02500000,1976,M10,74526
LNU02500000,1976,M11,74180
LNU02500000,1976,M12,74270
LNU02500000,1977,M01,73284
LNU02500000,1977,M02,73116
LNU02500000,1977,M03,73643
LNU02500000,1977,M04,74581
LNU02500000,1977,M05,75498
LNU02500000,1977,M06,78710
LNU02500000,1977,M07,79833
LNU02500000,1977,M08,80221
LNU02500000,1977,M09,77651
LNU02500000,1977,M10,77670
LNU02500000,1977,M11,77507
LNU02500000,1977,M12,77800
LNU02500000,1978,M01,76910
LNU02500000,1978,M02,76668
LNU02500000,1978,M03,77162
LNU02500000,1978,M04,78061
LNU02500000,1978,M05,78658
LNU02500000,1978,M06,82626
LNU02500000,1978,M07,83514
LNU02500000,1978,M08,84139
LNU02500000,1978,M09,81160
LNU02500000,1978,M10,81297
LNU02500000,1978,M11,81066
LNU02500000,1978,M12,81057
LNU02500000,1979,M01,80107
LNU02500000,1979,M02,80031
LNU02500000,1979,M03,80526
LNU02500000,1979,M04,80872
LNU02500000,1979,M05,81390
LNU02500000,1979,M06,84562
LNU02500000,1979,M07,85812
LNU02500000,1979,M08,85878
LNU02500000,1979,M09,83558
LNU02500000,1979,M10,83441
LNU02500000,1979,M11,82911
LNU02500000,1979,M12,82777
LNU02500000,1980,M01,81407
LNU02500000,1980,M02,81226
LNU02500000,1980,M03,81280
LNU02500000,1980,M04,81390
LNU02500000,1980,M05,81480
LNU02500000,1980,M06,83915
LNU02500000,1980,M07,84854
LNU02500000,1980,M08,84999
LNU02500000,1980,M09,83015
LNU02500000,1980,M10,82748
LNU02500000,1980,M11,82250
LNU02500000,1980,M12,82177
LNU02500000,1981,M01,81205
LNU02500000,1981,M02,81036
LNU02500000,1981,M03,81558
LNU02500000,1981,M04,82420
LNU02500000,1981,M05,83143
LNU02500000,1981,M06,85032
LNU02500000,1981,M07,86589
LNU02500000,1981,M08,86626
LNU02500000,1981,M09,83648
LNU02500000,1981,M10,83295
LNU02500000,1981,M11,82521
LNU02500000,1981,M12,81841
LNU02500000,1982,M01,80255
LNU02500000,1982,M02,80183
LNU02500000,1982,M03,80282
LNU02500000,1982,M04,80478
LNU02500000,1982,M05,81440
LNU02500000,1982,M06,83174
LNU02500000,1982,M07,84154
LNU02500000,1982,M08,84281
LNU02500000,1982,M09,81627
LNU02500000,1982,M10,81010
LNU02500000,1982,M11,80226
LNU02500000,1982,M12,79931
LNU02500000,1983,M01,78773
LNU02500000,1983,M02,78540
LNU02500000,1983,M03,79092
LNU02500000,1983,M04,80120
LNU02500000,1983,M05,80893
LNU02500000,1983,M06,84218
LNU02500000,1983,M07,85385
LNU02500000,1983,M08,85773
LNU02500000,1983,M09,83891
LNU02500000,1983,M10,83748
LNU02500000,1983,M11,83729
LNU02500000,1983,M12,83707
LNU02500000,1984,M01,82867
LNU02500000,1984,M02,83144
LNU02500000,1984,M03,83746
LNU02500000,1984,M04,84547
LNU02500000,1984,M05,86169
LNU02500000,1984,M06,89145
LNU02500000,1984,M07,89859
LNU02500000,1984,M08,89928
LNU02500000,1984,M09,87664
LNU02500000,1984,M10,87400
LNU02500000,1984,M11,87172
LNU02500000,1984,M12,86888
LNU02500000,1985,M01,85823
LNU02500000,1985,M02,85683
LNU02500000,1985,M03,86620
LNU02500000,1985,M04,87077
LNU02500000,1985,M05,88246
LNU02500000,1985,M06,90359
LNU02500000,1985,M07,91135
LNU02500000,1985,M08,91251
LNU02500000,1985,M09,89387
LNU02500000,1985,M10,89201
LNU02500000,1985,M11,88878
LNU02500000,1985,M12,88757
LNU02500000,1986,M01,88015
LNU02500000,1986,M02,87296
LNU02500000,1986,M03,88154
LNU02500000,1986,M04,88554
LNU02500000,1986,M05,89783
LNU02500000,1986,M06,92412
LNU02500000,1986,M07,93637
LNU02500000,1986,M08,93941
LNU02500000,1986,M09,91579
LNU02500000,1986,M10,90976
LNU02500000,1986,M11,90984
LNU02500000,1986,M12,91016
LNU02500000,1987,M01,89909
LNU02500000,1987,M02,89922
