Series ID,Year,Period,Value
LNU02000000,1948,M01,56339
LNU02000000,1948,M02,56440
LNU02000000,1948,M03,56601
LNU02000000,1948,M04,57471
LNU02000000,1948,M05,57763
LNU02000000,1948,M06,59724
LNU02000000,1948,M07,59955
LNU02000000,1948,M08,59677
LNU02000000,1948,M09,59337
LNU02000000,1948,M10,59290
LNU02000000,1948,M11,58991
LNU02000000,1948,M12,58554
LNU02000000,1949,M01,56486
LNU02000000,1949,M02,56320
LNU02000000,1949,M03,56809
LNU02000000,1949,M04,56929
LNU02000000,1949,M05,57669
LNU02000000,1949,M06,58231
LNU02000000,1949,M07,58171
LNU02000000,1949,M08,58504
LNU02000000,1949,M09,58324
LNU02000000,1949,M10,58050
LNU02000000,1949,M11,58616
LNU02000000,1949,M12,57712
LNU02000000,1950,M01,56189
LNU02000000,1950,M02,56197
LNU02000000,1950,M03,56733
LNU02000000,1950,M04,57812
LNU02000000,1950,M05,58719
LNU02000000,1950,M06,59997
LNU02000000,1950,M07,59839
LNU02000000,1950,M08,60948
LNU02000000,1950,M09,60245
LNU02000000,1950,M10,60708
LNU02000000,1950,M11,60313
LNU02000000,1950,M12,59352
LNU02000000,1951,M01,58166
LNU02000000,1951,M02,58102
LNU02000000,1951,M03,59366
LNU02000000,1951,M04,59206
LNU02000000,1951,M05,60219
LNU02000000,1951,M06,60373
LNU02000000,1951,M07,60968
LNU02000000,1951,M08,61128
LNU02000000,1951,M09,60408
LNU02000000,1951,M10,60906
LNU02000000,1951,M11,60464
LNU02000000,1951,M12,60252
LNU02000000,1952,M01,58884
LNU02000000,1952,M02,58834
LNU02000000,1952,M03,58912
LNU02000000,1952,M04,59232
LNU02000000,1952,M05,60250
LNU02000000,1952,M06,60988
LNU02000000,1952,M07,60775
LNU02000000,1952,M08,60872
LNU02000000,1952,M09,61162
LNU02000000,1952,M10,60992
LNU02000000,1952,M11,61394
LNU02000000,1952,M12,60748
LNU02000000,1953,M01,60134
LNU02000000,1953,M02,60271
LNU02000000,1953,M03,60874
LNU02000000,1953,M04,60757
LNU02000000,1953,M05,61061
LNU02000000,1953,M06,62166
LNU02000000,1953,M07,62186
LNU02000000,1953,M08,62271
LNU02000000,1953,M09,61529
LNU02000000,1953,M10,61805
LNU02000000,1953,M11,61302
LNU02000000,1953,M12,59796
LNU02000000,1954,M01,58645
LNU02000000,1954,M02,59059
LNU02000000,1954,M03,59119
LNU02000000,1954,M04,59537
LNU02000000,1954,M05,60020
LNU02000000,1954,M06,60497
LNU02000000,1954,M07,60523
LNU02000000,1954,M08,60858
LNU02000000,1954,M09,60952
LNU02000000,1954,M10,61210
LNU02000000,1954,M11,60901
LNU02000000,1954,M12,59990
LNU02000000,1955,M01,59354
LNU02000000,1955,M02,59336
LNU02000000,1955,M03,59850
LNU02000000,1955,M04,60861
LNU02000000,1955,M05,61780
LNU02000000,1955,M06,62568
LNU02000000,1955,M07,63497
LNU02000000,1955,M08,63876
LNU02000000,1955,M09,63676
LNU02000000,1955,M10,64138
LNU02000000,1955,M11,63840
LNU02000000,1955,M12,63268
LNU02000000,1956,M01,62049
LNU02000000,1956,M02,61773
LNU02000000,1956,M03,62172
LNU02000000,1956,M04,63002
LNU02000000,1956,M05,64045
LNU02000000,1956,M06,64707
LNU02000000,1956,M07,64940
LNU02000000,1956,M08,65085
LNU02000000,1956,M09,64831
LNU02000000,1956,M10,65074
LNU02000000,1956,M11,64310
LNU02000000,1956,M12,63619
LNU02000000,1957,M01,61974
LNU02000000,1957,M02,62512
LNU02000000,1957,M03,63134
LNU02000000,1957,M04,63512
LNU02000000,1957,M05,64213
LNU02000000,1957,M06,65127
LNU02000000,1957,M07,65726
LNU02000000,1957,M08,65009
LNU02000000,1957,M09,64769
LNU02000000,1957,M10,65112
LNU02000000,1957,M11,64129
LNU02000000,1957,M12,63598
LNU02000000,1958,M01,61508
LNU02000000,1958,M02,61265
LNU02000000,1958,M03,61567
LNU02000000,1958,M04,62116
LNU02000000,1958,M05,63098
LNU02000000,1958,M06,63652
LNU02000000,1958,M07,63810
LNU02000000,1958,M08,64018
LNU02000000,1958,M09,63766
LNU02000000,1958,M10,64480
LNU02000000,1958,M11,63890
LNU02000000,1958,M12,63266
LNU02000000,1959,M01,62052
LNU02000000,1959,M02,62015
LNU02000000,1959,M03,63091
LNU02000000,1959,M04,64241
LNU02000000,1959,M05,65036
LNU02000000,1959,M06,65924
LNU02000000,1959,M07,66193
LNU02000000,1959,M08,65897
LNU02000000,1959,M09,65414
LNU02000000,1959,M10,65891
LNU02000000,1959,M11,64877
LNU02000000,1959,M12,64927
LNU02000000,1960,M01,63375
LNU02000000,1960,M02,63871
LNU02000000,1960,M03,63607
LNU02000000,1960,M04,65450
LNU02000000,1960,M05,66342
LNU02000000,1960,M06,67288
LNU02000000,1960,M07,67239
LNU02000000,1960,M08,67004
LNU02000000,1960,M09,66892
LNU02000000,1960,M10,66563
LNU02000000,1960,M11,66394
LNU02000000,1960,M12,65287
LNU02000000,1961,M01,63797
LNU02000000,1961,M02,63869
LNU02000000,1961,M03,64700
LNU02000000,1961,M04,64957
LNU02000000,1961,M05,65831
LNU02000000,1961,M06,67151
LNU02000000,1961,M07,66911
LNU02000000,1961,M08,67028
LNU02000000,1961,M09,66036
LNU02000000,1961,M10,66786
LNU02000000,1961,M11,66348
LNU02000000,1961,M12,65531
LNU02000000,1962,M01,64215
LNU02000000,1962,M02,64872
LNU02000000,1962,M03,65421
LNU02000000,1962,M04,65957
LNU02000000,1962,M05,67066
LNU02000000,1962,M06,67852
