,employment_level_in_thousands,Date,unemployment_level_in_thousands,us_spend_in_millions,mining_income_in_millions,hha_net_worth_in_millions,hha_net_worth/dpi,hha_total_assets_in_millions,hha_total_assets/dpi,downturn
0,56339,1948-01-01,2351,33338.0,5537.0,1298464.0,533.45,1384688.0,568.88,0
1,56440,1948-02-01,2807,33771.333333333336,5544.666666666667,1298464.0,533.45,1384688.0,568.88,0
2,56601,1948-03-01,2646,34204.666666666664,5552.333333333333,1298464.0,533.45,1384688.0,568.88,0
3,57471,1948-04-01,2407,34638.0,5560.0,1298464.0,533.45,1384688.0,568.88,0
4,57763,1948-05-01,2014,35052.333333333336,5744.0,1298464.0,533.45,1384688.0,568.88,0
5,59724,1948-06-01,2408,35466.666666666664,5928.0,1298464.0,533.45,1384688.0,568.88,0
6,59955,1948-07-01,2411,35881.0,6112.0,1298464.0,533.45,1384688.0,568.88,0
7,59677,1948-08-01,2238,36333.0,6090.333333333333,1298464.0,533.45,1384688.0,568.88,0
8,59337,1948-09-01,2061,36785.0,6068.666666666667,1298464.0,533.45,1384688.0,568.88,0
9,59290,1948-10-01,1747,37237.0,6047.0,1298464.0,533.45,1384688.0,568.88,0
10,58991,1948-11-01,2033,37602.333333333336,5918.0,1298464.0,533.45,1384688.0,568.88,1
11,58554,1948-12-01,2205,37967.666666666664,5789.0,1298464.0,533.45,1384688.0,568.88,1
12,56486,1949-01-01,2995,38333.0,5660.0,1298464.0,533.45,1384688.0,568.88,1
13,56320,1949-02-01,3474,38584.0,5524.0,1298464.0,533.45,1384688.0,568.88,1
14,56809,1949-03-01,3383,38835.0,5388.0,1298464.0,533.45,1384688.0,568.88,1
15,56929,1949-04-01,3277,39086.0,5252.0,1298464.0,533.45,1384688.0,568.88,1
16,57669,1949-05-01,3516,38868.0,5051.666666666667,1298464.0,533.45,1384688.0,568.88,1
17,58231,1949-06-01,3966,38650.0,4851.333333333333,1298464.0,533.45,1384688.0,568.88,1
18,58171,1949-07-01,4388,38432.0,4651.0,1298464.0,533.45,1384688.0,568.88,1
19,58504,1949-08-01,3956,38328.333333333336,4577.0,1298464.0,533.45,1384688.0,568.88,1
20,58324,1949-09-01,3635,38224.666666666664,4503.0,1298464.0,533.45,1384688.0,568.88,1
21,58050,1949-10-01,3788,38121.0,4429.0,1298464.0,533.45,1384688.0,568.88,1
22,58616,1949-11-01,3570,38172.666666666664,4551.0,1298464.0,533.45,1384688.0,568.88,0
23,57712,1949-12-01,3690,38224.333333333336,4673.0,1298464.0,533.45,1384688.0,568.88,0
24,56189,1950-01-01,4648,38276.0,4795.0,1298464.0,533.45,1384688.0,568.88,0
25,56197,1950-02-01,4791,38368.333333333336,5133.333333333333,1298464.0,533.45,1384688.0,568.88,0
26,56733,1950-03-01,4313,38460.666666666664,5471.666666666667,1298464.0,533.45,1384688.0,568.88,0
27,57812,1950-04-01,3665,38553.0,5810.0,1298464.0,533.45,1384688.0,568.88,0
28,58719,1950-05-01,3263,38373.0,5977.666666666667,1298464.0,533.45,1384688.0,568.88,0
29,59997,1950-06-01,3551,38193.0,6145.333333333333,1298464.0,533.45,1384688.0,568.88,0
30,59839,1950-07-01,3316,38013.0,6313.0,1298464.0,533.45,1384688.0,568.88,0
31,60948,1950-08-01,2613,39140.0,6347.666666666667,1298464.0,533.45,1384688.0,568.88,0
32,60245,1950-09-01,2490,40267.0,6382.333333333333,1298464.0,533.45,1384688.0,568.88,0
33,60708,1950-10-01,2055,41394.0,6417.0,1298464.0,533.45,1384688.0,568.88,0
34,60313,1950-11-01,2356,43308.666666666664,6379.0,1298464.0,533.45,1384688.0,568.88,0
35,59352,1950-12-01,2409,45223.333333333336,6341.0,1298464.0,533.45,1384688.0,568.88,0
36,58166,1951-01-01,2649,47138.0,6303.0,1298464.0,533.45,1384688.0,568.88,0
37,58102,1951-02-01,2538,48631.333333333336,6326.333333333333,1298464.0,533.45,1384688.0,568.88,0
38,59366,1951-03-01,2323,50124.666666666664,6349.666666666667,1298464.0,533.45,1384688.0,568.88,0
39,59206,1951-04-01,1938,51618.0,6373.0,1298464.0,533.45,1384688.0,568.88,0
40,60219,1951-05-01,1770,53380.666666666664,6385.666666666667,1298464.0,533.45,1384688.0,568.88,0
41,60373,1951-06-01,2132,55143.333333333336,6398.333333333333,1298464.0,533.45,1384688.0,568.88,0
42,60968,1951-07-01,2072,56906.0,6411.0,1298464.0,533.45,1384688.0,568.88,0
43,61128,1951-08-01,1806,57679.0,6429.0,1298464.0,533.45,1384688.0,568.88,0
44,60408,1951-09-01,1886,58452.0,6447.0,1298464.0,533.45,1384688.0,568.88,0
45,60906,1951-10-01,1754,59225.0,6465.0,1298464.0,533.45,1384688.0,568.88,0
46,60464,1951-11-01,1990,59790.333333333336,6505.0,1298464.0,533.45,1384688.0,568.88,0
47,60252,1951-12-01,1796,60355.666666666664,6545.0,1298464.0,533.45,1384688.0,568.88,0
48,58884,1952-01-01,2258,60921.0,6585.0,1298464.0,533.45,1384688.0,568.88,0
49,58834,1952-02-01,2340,62188.333333333336,6358.0,1305987.0,534.3100000000001,1393606.6666666667,570.16,0
50,58912,1952-03-01,2002,63455.666666666664,6131.0,1313510.0,535.17,1402525.3333333333,571.44,0
51,59232,1952-04-01,1836,64723.0,5904.0,1321033.0,536.03,1411444.0,572.72,0
52,60250,1952-05-01,1782,65177.666666666664,5958.666666666667,1325368.0,533.0766666666666,1416789.0,569.8433333333334,0
53,60988,1952-06-01,2032,65632.33333333333,6013.333333333333,1329703.0,530.1233333333333,1422134.0,566.9666666666667,0
54,60775,1952-07-01,2085,66087.0,6068.0,1334038.0,527.17,1427479.0,564.09,0
55,60872,1952-08-01,1918,66764.33333333333,6165.333333333333,1335439.3333333333,523.7433333333333,1430363.3333333333,560.96,0
56,61162,1952-09-01,1728,67441.66666666667,6262.666666666667,1336840.6666666667,520.3166666666666,1433247.6666666667,557.83,0
57,60992,1952-10-01,1480,68119.0,6360.0,1338242.0,516.89,1436132.0,554.7,0
58,61394,1952-11-01,1594,68485.0,6325.666666666667,1341700.3333333333,515.54,1440362.6666666667,553.45,0
59,60748,1952-12-01,1545,68851.0,6291.333333333333,1345158.6666666667,514.19,1444593.3333333333,552.2,0
60,60134,1953-01-01,2132,69217.0,6257.0,1348617.0,512.84,1448824.0,550.95,0
61,60271,1953-02-01,1964,69733.66666666667,6253.333333333333,1349370.3333333333,510.67,1451074.6666666667,549.1566666666668,0
62,60874,1953-03-01,1828,70250.33333333333,6249.666666666667,1350123.6666666667,508.5,1453325.3333333333,547.3633333333333,0
63,60757,1953-04-01,1764,70767.0,6246.0,1350877.0,506.33,1455576.0,545.57,0
64,61061,1953-05-01,1536,70375.33333333333,6293.666666666667,1355747.0,508.05333333333334,1461289.3333333333,547.6033333333334,0
65,62166,1953-06-01,1732,69983.66666666667,6341.333333333333,1360617.0,509.77666666666664,1467002.6666666667,549.6366666666667,0
66,62186,1953-07-01,1710,69592.0,6389.0,1365487.0,511.5,1472716.0,551.67,1
67,62271,1953-08-01,1512,70000.66666666667,6310.333333333333,1372402.0,513.9233333333333,1480762.6666666667,554.5033333333333,1
68,61529,1953-09-01,1619,70409.33333333333,6231.666666666667,1379317.0,516.3466666666667,1488809.3333333333,557.3366666666666,1
69,61805,1953-10-01,1572,70818.0,6153.0,1386232.0,518.77,1496856.0,560.17,1
70,61302,1953-11-01,2017,70018.0,6123.0,1393816.6666666667,519.84,1504398.0,561.0833333333333,1
71,59796,1953-12-01,2634,69218.0,6093.0,1401401.3333333333,520.91,1511940.0,561.9966666666667,1
72,58645,1954-01-01,3561,68418.0,6063.0,1408986.0,521.98,1519482.0,562.91,1
73,59059,1954-02-01,3983,67809.0,6061.666666666667,1416208.3333333333,524.73,1527976.3333333333,566.1366666666667,1
74,59119,1954-03-01,4037,67200.0,6060.333333333333,1423430.6666666667,527.48,1536470.6666666667,569.3633333333333,1
75,59537,1954-04-01,3846,66591.0,6059.0,1430653.0,530.23,1544965.0,572.59,1
76,60020,1954-05-01,3658,66532.33333333333,6051.0,1442735.0,533.4,1558197.3333333333,576.0833333333334,1
77,60497,1954-06-01,3681,66473.66666666667,6043.0,1454817.0,536.57,1571429.6666666667,579.5766666666667,0
78,60523,1954-07-01,3679,66415.0,6035.0,1466899.0,539.74,1584662.0,583.07,0
79,60858,1954-08-01,3470,66563.0,6112.0,1472639.6666666667,538.6066666666667,1592179.0,582.32,0
80,60952,1954-09-01,3433,66711.0,6189.0,1478380.3333333333,537.4733333333334,1599696.0,581.57,0
81,61210,1954-10-01,2929,66859.0,6266.0,1484121.0,536.34,1607213.0,580.82,0
82,60901,1954-11-01,3115,67148.66666666667,6330.666666666667,1491342.6666666667,535.4833333333333,1615509.0,580.0633333333334,0
83,59990,1954-12-01,3009,67438.33333333333,6395.333333333333,1498564.3333333333,534.6266666666667,1623805.0,579.3066666666666,0
84,59354,1955-01-01,3669,67728.0,6460.0,1505786.0,533.77,1632101.0,578.55,0
85,59336,1955-02-01,3569,67744.33333333333,6547.0,1517490.6666666667,533.8,1646176.0,579.0633333333333,0
86,59850,1955-03-01,3297,67760.66666666667,6634.0,1529195.3333333333,533.83,1660251.0,579.5766666666667,0
87,60861,1955-04-01,3162,67777.0,6721.0,1540900.0,533.86,1674326.0,580.09,0
88,61780,1955-05-01,2690,68462.66666666667,6755.0,1554025.3333333333,534.4033333333333,1689238.3333333333,580.9,0
89,62568,1955-06-01,2893,69148.33333333333,6789.0,1567150.6666666667,534.9466666666667,1704150.6666666667,581.71,0
90,63497,1955-07-01,2662,69834.0,6823.0,1580276.0,535.49,1719063.0,582.52,0
91,63876,1955-08-01,2536,69577.0,6954.333333333333,1587095.3333333333,535.2366666666667,1727762.0,582.6733333333333,0
92,63676,1955-09-01,2338,69320.0,7085.666666666667,1593914.6666666667,534.9833333333333,1736461.0,582.8266666666667,0
93,64138,1955-10-01,2284,69063.0,7217.0,1600734.0,534.73,1745160.0,582.98,0
94,63840,1955-11-01,2536,69133.33333333333,7310.0,1614997.6666666667,536.9266666666667,1760010.0,585.14,0
95,63268,1955-12-01,2601,69203.66666666667,7403.0,1629261.3333333333,539.1233333333333,1774860.0,587.3000000000001,0
96,62049,1956-01-01,3066,69274.0,7496.0,1643525.0,541.32,1789710.0,589.46,0
97,61773,1956-02-01,3092,70070.33333333333,7557.333333333333,1646892.3333333333,539.5233333333333,1794831.0,587.98,0
98,62172,1956-03-01,3095,70866.66666666667,7618.666666666667,1650259.6666666667,537.7266666666667,1799952.0,586.5,0
99,63002,1956-04-01,2710,71663.0,7680.0,1653627.0,535.93,1805073.0,585.02,0
100,64045,1956-05-01,2799,71281.33333333333,7616.666666666667,1659820.6666666667,535.2666666666667,1812395.6666666667,584.4733333333334,0
101,64707,1956-06-01,3179,70899.66666666667,7553.333333333333,1666014.3333333333,534.6033333333334,1819718.3333333333,583.9266666666666,0
102,64940,1956-07-01,2984,70518.0,7490.0,1672208.0,533.94,1827041.0,583.38,0
103,65085,1956-08-01,2467,71238.66666666667,7550.0,1685022.3333333333,534.2133333333334,1841444.3333333333,583.8033333333333,0
104,64831,1956-09-01,2273,71959.33333333333,7610.0,1697836.6666666667,534.4866666666667,1855847.6666666667,584.2266666666667,0
105,65074,1956-10-01,2091,72680.0,7670.0,1710651.0,534.76,1870251.0,584.65,0
106,64310,1956-11-01,2599,73648.33333333333,7660.666666666667,1714955.6666666667,533.9433333333333,1874942.6666666667,583.7533333333333,0
